review_id,store_id,split
1780196625-48,Panda_Vivo Y71,train
1780196625-51,Panda_Vivo Y71,train
1780196625-41,Panda_Vivo Y71,train
1780196625-172,Panda_Vivo Y71,train
1780196625-167,Panda_Vivo Y71,train
1780196625-186,Panda_Vivo Y71,train
1780196625-201,Panda_Vivo Y71,train
1780196625-335,Panda_Vivo Y71,train
1780196625-160,Panda_Vivo Y71,train
1780196625-183,Panda_Vivo Y71,train
1780196625-150,Panda_Vivo Y71,train
1780196625-157,Panda_Vivo Y71,train
1780196625-177,Panda_Vivo Y71,train
1780196625-33,Panda_Vivo Y71,train
1780196625-375,Panda_Vivo Y71,train
1780196625-154,Panda_Vivo Y71,train
1780196625-187,Panda_Vivo Y71,train
1780196625-188,Panda_Vivo Y71,train
1780196625-176,Panda_Vivo Y71,train
1780196625-320,Panda_Vivo Y71,train
1780196625-181,Panda_Vivo Y71,train
1780196625-137,Panda_Vivo Y71,train
1780196625-22,Panda_Vivo Y71,train
1780196625-350,Panda_Vivo Y71,train
1780196625-20,Panda_Vivo Y71,train
1780196625-19,Panda_Vivo Y71,train
1780196625-125,Panda_Vivo Y71,train
1780196625-175,Panda_Vivo Y71,train
1780196625-269,Panda_Vivo Y71,train
1780196625-158,Panda_Vivo Y71,train
1780196625-256,Panda_Vivo Y71,train
1780196625-18,Panda_Vivo Y71,train
1780196625-148,Panda_Vivo Y71,train
1780196625-161,Panda_Vivo Y71,train
1780196625-185,Panda_Vivo Y71,train
1780196625-124,Panda_Vivo Y71,train
1780196625-159,Panda_Vivo Y71,train
1780196625-127,Panda_Vivo Y71,train
1780196625-254,Panda_Vivo Y71,train
1780196625-118,Panda_Vivo Y71,train
1780196625-341,Panda_Vivo Y71,train
1780196625-117,Panda_Vivo Y71,train
1780196625-120,Panda_Vivo Y71,train
1780196625-121,Panda_Vivo Y71,train
1780196625-122,Panda_Vivo Y71,train
1780196625-139,Panda_Vivo Y71,train
1780196625-156,Panda_Vivo Y71,train
1780196625-165,Panda_Vivo Y71,train
1780196625-348,Panda_Vivo Y71,train
1780196625-116,Panda_Vivo Y71,train
1780196625-253,Panda_Vivo Y71,train
1780196625-15,Panda_Vivo Y71,train
1780196625-287,Panda_Vivo Y71,train
1780196625-119,Panda_Vivo Y71,train
1780196625-128,Panda_Vivo Y71,train
1780196625-248,Panda_Vivo Y71,train
1780196625-97,Panda_Vivo Y71,train
1780196625-317,Panda_Vivo Y71,train
1780196625-351,Panda_Vivo Y71,train
1780196625-329,Panda_Vivo Y71,train
1780196625-302,Panda_Vivo Y71,train
1780196625-367,Panda_Vivo Y71,train
1780196625-112,Panda_Vivo Y71,train
1780196625-247,Panda_Vivo Y71,train
1780196625-283,Panda_Vivo Y71,train
1780196625-303,Panda_Vivo Y71,train
1780196625-111,Panda_Vivo Y71,train
1780196625-126,Panda_Vivo Y71,train
1780196625-153,Panda_Vivo Y71,train
1780196625-13,Panda_Vivo Y71,train
1780196625-163,Panda_Vivo Y71,train
1780196625-371,Panda_Vivo Y71,train
1780196625-28,Panda_Vivo Y71,train
1780196625-242,Panda_Vivo Y71,train
1780196625-96,Panda_Vivo Y71,train
1780196625-169,Panda_Vivo Y71,train
1780196625-230,Panda_Vivo Y71,train
1780196625-12,Panda_Vivo Y71,train
1780196625-141,Panda_Vivo Y71,train
1780196625-298,Panda_Vivo Y71,train
1780196625-243,Panda_Vivo Y71,train
1780196625-142,Panda_Vivo Y71,train
1780196625-103,Panda_Vivo Y71,train
1780196625-278,Panda_Vivo Y71,train
1780196625-300,Panda_Vivo Y71,train
1780196625-99,Panda_Vivo Y71,train
1780196625-100,Panda_Vivo Y71,train
1780196625-170,Panda_Vivo Y71,train
1780196625-192,Panda_Vivo Y71,train
1780196625-294,Panda_Vivo Y71,train
1780196625-324,Panda_Vivo Y71,train
1780196625-360,Panda_Vivo Y71,train
1780196625-11,Panda_Vivo Y71,train
1780196625-27,Panda_Vivo Y71,train
1780196625-94,Panda_Vivo Y71,train
1780196625-134,Panda_Vivo Y71,train
1780196625-333,Panda_Vivo Y71,train
1780196625-149,Panda_Vivo Y71,train
1780196625-237,Panda_Vivo Y71,train
1780196625-339,Panda_Vivo Y71,train
1780196625-332,Panda_Vivo Y71,train
1780196625-308,Panda_Vivo Y71,train
1780196625-113,Panda_Vivo Y71,train
1780196625-10,Panda_Vivo Y71,train
1780196625-174,Panda_Vivo Y71,train
1780196625-8,Panda_Vivo Y71,train
1780196625-83,Panda_Vivo Y71,train
1780196625-131,Panda_Vivo Y71,train
1780196625-144,Panda_Vivo Y71,train
1780196625-194,Panda_Vivo Y71,train
1780196625-318,Panda_Vivo Y71,train
1780196625-359,Panda_Vivo Y71,train
1780196625-319,Panda_Vivo Y71,train
1780196625-9,Panda_Vivo Y71,train
1780196625-93,Panda_Vivo Y71,train
1780196625-152,Panda_Vivo Y71,train
1780196625-233,Panda_Vivo Y71,train
1780196625-258,Panda_Vivo Y71,train
1780196625-272,Panda_Vivo Y71,train
1780196625-246,Panda_Vivo Y71,train
1780196625-364,Panda_Vivo Y71,train
1780196625-292,Panda_Vivo Y71,train
1780196625-145,Panda_Vivo Y71,train
1780196625-91,Panda_Vivo Y71,train
1780196625-92,Panda_Vivo Y71,train
1780196625-101,Panda_Vivo Y71,train
1780196625-130,Panda_Vivo Y71,train
1780196625-316,Panda_Vivo Y71,train
1780196625-321,Panda_Vivo Y71,train
1780196625-338,Panda_Vivo Y71,train
1780196625-328,Panda_Vivo Y71,train
1780196625-232,Panda_Vivo Y71,train
1780196625-231,Panda_Vivo Y71,train
1780196625-123,Panda_Vivo Y71,train
1780196625-90,Panda_Vivo Y71,train
1780196625-135,Panda_Vivo Y71,train
1780196625-279,Panda_Vivo Y71,train
1780196625-313,Panda_Vivo Y71,train
1780196625-227,Panda_Vivo Y71,train
1780196625-297,Panda_Vivo Y71,train
1780196625-7,Panda_Vivo Y71,train
1780196625-314,Panda_Vivo Y71,train
1780196625-228,Panda_Vivo Y71,train
1780196625-88,Panda_Vivo Y71,train
1780196625-224,Panda_Vivo Y71,train
1780196625-275,Panda_Vivo Y71,train
1780196625-293,Panda_Vivo Y71,train
1780196625-340,Panda_Vivo Y71,train
1780196625-374,Panda_Vivo Y71,train
1780196625-85,Panda_Vivo Y71,train
1780196625-104,Panda_Vivo Y71,train
1780196625-276,Panda_Vivo Y71,train
1780196625-5,Panda_Vivo Y71,train
1780196625-108,Panda_Vivo Y71,train
1780196625-261,Panda_Vivo Y71,train
1780196625-6,Panda_Vivo Y71,train
1780196625-84,Panda_Vivo Y71,train
1780196625-285,Panda_Vivo Y71,train
1780196625-284,Panda_Vivo Y71,train
1780196625-221,Panda_Vivo Y71,train
1780196625-331,Panda_Vivo Y71,train
1780196625-155,Panda_Vivo Y71,train
1780196625-291,Panda_Vivo Y71,train
1780196625-373,Panda_Vivo Y71,train
1780196625-220,Panda_Vivo Y71,train
1780196625-222,Panda_Vivo Y71,train
1780196625-377,Panda_Vivo Y71,train
1780196625-78,Panda_Vivo Y71,train
1780196625-4,Panda_Vivo Y71,train
1780196625-369,Panda_Vivo Y71,train
1780196625-266,Panda_Vivo Y71,train
1780196625-106,Panda_Vivo Y71,train
1780196625-296,Panda_Vivo Y71,train
1780196625-226,Panda_Vivo Y71,train
1780196625-147,Panda_Vivo Y71,train
