review_id,store_id,review_raw,timestamp_raw,store_label,review_text,review_date,split
1780196625-48,Panda_Vivo Y71,maaf baru di ulas.barangny bagus dan normal semoga awet dan tahan lama.🙏,2025-06-19,0,maaf baru di ulas barangny bagus dan normal semoga awet dan tahan lama,2025-06-19 00:00:00,train
1780196625-51,Panda_Vivo Y71,"mantap, udah pesan 2x aman, semoga terus amanah,, dan awett",2025-06-19,0,mantap udah pesan 2x aman semoga terus amanah dan awett,2025-06-19 00:00:00,train
1780196625-41,Panda_Vivo Y71,paket telah mendarat dengan aman dan cocok sesuai pesanan dan sesuai gambar,2025-07-02,0,paket telah mendarat dengan aman dan cocok sesuai pesanan dan sesuai gambar,2025-07-02 00:00:00,train
1780196625-172,Panda_Vivo Y71,mantap💖💖💖💖💖toko terpercaya bagi saya...semoga sukses..amanah truuus ya💖💖💖💖,2025-07-03,0,mantap toko terpercaya bagi saya semoga sukses amanah truuus ya,2025-07-03 00:00:00,train
1780196625-167,Panda_Vivo Y71,"packing nya rapih dan aman, pengiriman cepat
barang dalam kondisi bagus dan original dan lengkap",2025-07-05,0,packing nya rapih dan aman pengiriman cepat barang dalam kondisi bagus dan original dan lengkap,2025-07-05 00:00:00,train
1780196625-186,Panda_Vivo Y71,kualitas bagus sesuai pesanan,2025-07-05,0,kualitas bagus sesuai pesanan,2025-07-05 00:00:00,train
1780196625-201,Panda_Vivo Y71,"pengiriman tgl 25 juni dan tiba tgl 8 juli, biasanya 2-3 hari sdh nyampe, sangat mengecewakan untuk pengiriman. penjual mantap, gercep",2025-07-08,0,pengiriman tgl 25 juni dan tiba tgl 8 juli biasanya 2 3 hari sdh nyampe sangat mengecewakan untuk pengiriman penjual mantap gercep,2025-07-08 00:00:00,train
1780196625-335,Panda_Vivo Y71,Alhamdulillah.. sesuai keinginan.. barang bagus beneran baru mantap,2025-07-08,0,alhamdulillah sesuai keinginan barang bagus beneran baru mantap,2025-07-08 00:00:00,train
1780196625-160,Panda_Vivo Y71,"hp sudah sampe dan telah ku coba lumayan, dengan harga sangat murah makasih seler dan makasih buat kurirnya.",2025-07-10,0,handphone sudah sampe dan telah ku coba lumayan dengan harga sangat murah makasih penjual dan makasih buat kurirnya,2025-07-10 00:00:00,train
1780196625-183,Panda_Vivo Y71,blm d cek batre kosong sdng d isi baterai,2025-07-11,0,blm d cek batre kosong sdng d isi baterai,2025-07-11 00:00:00,train
1780196625-150,Panda_Vivo Y71,"Very recommended seller. 
Produk sesuai deskripsi, produk baru segel box, proses cepat, aman sampai di tempat saya. Sangat puas, mau pesan lagi nanti.. Terimakasih",2025-07-12,0,very recommended penjual produk sesuai deskripsi produk baru segel box proses cepat aman sampai di tempat saya sangat puas mau pesan lagi nanti terima kasih,2025-07-12 00:00:00,train
1780196625-157,Panda_Vivo Y71,"sesuai pesanan, toko nya terpecaya, pengirimannya cpt , dpt hrg murah, Hp nya bagus dan msh mulus, Alhamdulillah nyala dan aman. ga tau ini Hp bekas atw br ya soalnya di dlm dus cm ada charger sm Hp aja. uda gitu Batre Hp nya uda 100% aja. semoga awet. thanks buat toko dan kurir nya. maaf video nya ga bs terpasang saat buka paket.",2025-07-12,0,sesuai pesanan toko nya terpecaya pengirimannya cpt dapat hrg murah handphone nya bagus dan msh mulus alhamdulillah nyala dan aman tidak tau ini handphone bekas atw br ya soalnya di dlm dus cm ada charger sm handphone aja uda gitu batre handphone nya uda 100 aja semoga awet thanks buat toko dan kurir nya maaf video nya tidak bs terpasang saat buka paket,2025-07-12 00:00:00,train
1780196625-177,Panda_Vivo Y71,barangnya sudah sampai dengan selamat terima kasih?,2025-07-13,0,barangnya sudah sampai dengan selamat terima kasih,2025-07-13 00:00:00,train
1780196625-33,Panda_Vivo Y71,"mantaf sesuai iklan
HP gres mulus dan normal
pengiriman cepat
respon penjual cepat dan bersahabat
harga bersaing
makasih banget seller",2025-07-17,0,mantaf sesuai iklan handphone gres mulus dan normal pengiriman cepat respon penjual cepat dan bersahabat harga bersaing makasih banget penjual,2025-07-17 00:00:00,train
1780196625-375,Panda_Vivo Y71,saya pesanwarna biru ko Dateng nya warna putih,2025-07-21,0,saya pesanwarna biru ko dateng nya warna putih,2025-07-21 00:00:00,train
1780196625-154,Panda_Vivo Y71,oke mantul paket berfungsi dgn baik tidak ada kendala..smoga awet..recomended poko na mah hehe..trima kasih bos kuh,2025-07-22,0,oke mantul paket berfungsi dengan baik tidak ada kendala smoga awet recomended poko na mah hehe trima kasih bos kuh,2025-07-22 00:00:00,train
