web_scraper_order,web_scraper_start_url,pagination,review,timestamp
"1780167045-1","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","Keren ini mah hp nya kecil tapi gak kecil baget anak saya suka buat bocill cocok dari pada harus rebutan sama saya😂 
Harga terjangkau kualitas gak perlu di ragukan lagi, gak perlu pikir panjang langsung checkout barang memuaskan terima kasih seller🫰🏻🫰🏻❤️❤️","2025-09-08 11:53 | Variasi: Silver"
"1780167045-2","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","Di luar ekspetasi saya ga nyangka bakal SE cute ini😍 udah di coba berfungsi dengan baikk  ga nyesel deh pokoknya respon penjual pun cepat sekali 🫶hitam doff juga glossy mantullll🫶🫶🫶","2025-09-08 11:57 | Variasi: Hitam"
"1780167045-3","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","Barang tidak sesuai deskripsi tidak bisa di Pakaikan SIM CARD HP nya juga lambat SIM terbaca tapi jaringan internet nya gak bisa di pake... Saya sudah masukin Telkomsel, AXIS dan M3 malah M3 tulisannya Roaming
Seller nya juga gak bales waktu di cht","2025-09-18 17:02 | Variasi: Grey"
"1780167045-4","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2026-04-06 07:27 | Variasi: Hitam"
"1780167045-5","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","Awanya agak ragu, tapi setelah dicoba imut bgt dan lucu. Sinyal aman, wifi lancar. walau emang kinerja agak lemot dibanding hape normal. Tapi wajar untuk hape mini kayak gini. cocok buat second phone.","2025-09-28 20:52 | Variasi: Silver"
"1780167045-6","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","trmksi kak barang nya sudah sampai⭐⭐⭐⭐⭐","2025-10-14 22:25 | Variasi: Silver"
"1780167045-7","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","ini hp nya tidak bisa nge baca sim card
terima kasih","2026-05-11 00:53 | Variasi: 4.5 Grey"
"1780167045-8","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","mantpsssssssss","2025-12-23 17:06 | Variasi: Silver"
"1780167045-9","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2026-01-01 17:07 | Variasi: Oren"
"1780167045-10","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","Baguss bgtt gak nyesel beli disini","2025-10-30 10:47 | Variasi: Silver"
"1780167045-11","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2026-04-09 10:43 | Variasi: Hitam"
"1780167045-12","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2026-05-27 19:22 | Variasi: 3.0 Oren"
"1780167045-13","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2025-12-20 17:23 | Variasi: Hitam"
"1780167045-14","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2026-01-10 13:31 | Variasi: Silver"
"1780167045-15","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","Barang tidak bisa di pake","2026-02-05 19:02 | Variasi: Oren"
"1780167045-16","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","Hp nya tidak masuk jadi di charge","2026-05-13 18:21 | Variasi: 3.0 Oren"
"1780167045-17","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","BARANG RUSAK KOK DIJUAL!
Beli pertama warna oren, oke 
Segelan semua masih baru
Lalu saya beli kedua warna silver, barang datang ngga ada segel, screen protector sudah terpasang, curiga sudah bekas rusak orang retur sebelomnya, beneran, ga bisa nyala, ga bisa di charge
Ajukan pengembalian entah kenapa hari k3 sudah ga ada pilihannya
Seller dikontak tidak mau urus, tidak tanggung jawab, jelas barang ini rusak
Jahat yah, semoga kaya raya kamu kerja model seperti ini.
Ini sudah pasti barang returan dari orang lain yang rusak dikirim ke saya","2026-01-07 11:03 | Variasi: Grey"
